BUNGAMA,BUNGAMA SA 5540
CLEMENTS GAP,CLEMENTS GAP SA 5523
COLLINSFIELD,COLLINSFIELD SA 5555
COONAMIA,COONAMIA SA 5540
CRYSTAL BROOK,CRYSTAL BROOK SA 5523
GERMEIN BAY,GERMEIN BAY SA 5495
HUDDLESTON,HUDDLESTON SA 5523
KOOLUNGA,KOOLUNGA SA 5464
LOWER BROUGHTON,LOWER BROUGHTON SA 5522
MERRITON,MERRITON SA 5523
MUNDOORA,MUNDOORA SA 5555
NAPPERBY,NAPPERBY SA 5540
NELSHABY,NELSHABY SA 5540
NUROM,NUROM SA 5523
PIRIE EAST,PIRIE EAST SA 5540
PORT DAVIS,PORT DAVIS SA 5540
PORT PIRIE,PORT PIRIE SA 5540
PORT PIRIE SOUTH,PORT PIRIE SOUTH SA 5540
PORT PIRIE WEST,PORT PIRIE WEST SA 5540
REDHILL,REDHILL SA 5521
RISDON PARK,RISDON PARK SA 5540
RISDON PARK SOUTH,RISDON PARK SOUTH SA 5540
SOLOMONTOWN,SOLOMONTOWN SA 5540
WANDEARAH EAST,WANDEARAH EAST SA 5523
WANDEARAH WEST,WANDEARAH WEST SA 5523
WARNERTOWN,WARNERTOWN SA 5540
